Report ID,Arrest Date,Time,Area ID,Area Name,Reporting District,Age,Sex Code,Descent Code,Charge Group Code,Charge Group Description,Arrest Type Code,Charge,Charge Description,Address,Cross Street
4133981,10/23/2014,0620,20,Olympic,2002,29,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BEVERLY,WESTERN
4136426,10/26/2014,0030,20,Olympic,2071,22,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,W  WESTERN
4144538,11/04/2014,2230,20,Olympic,2071,26,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH,WESTERN
4146579,05/31/2015,0125,20,Olympic,2073,27,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,15TH                         ST,WESTERN
4147594,11/07/2014,2335,06,Hollywood,0678,31,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,LEMON GROVE,WESTERN
4147716,11/08/2014,0135,06,Hollywood,0678,33,M,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,BARTON,WESTERN                      AV
4161596,11/19/2014,2350,20,Olympic,2053,22,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,OLYMPIC                      BL,WESTERN                      AV
4162704,05/31/2015,0110,20,Olympic,2073,24,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,CAMBRIDGE,WESTERN
4165072,11/24/2014,0435,06,Hollywood,0669,53,M,O,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,FOUNTAIN,WESTERN
4165074,11/24/2014,0455,06,Hollywood,0678,22,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,MELROSE,WESTERN
4165086,11/24/2014,0535,06,Hollywood,0677,25,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MARATHON,WESTERN
4165129,11/24/2014,0640,06,Hollywood,0678,27,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MARATHON,WESTERN
4165131,11/24/2014,0650,06,Hollywood,0659,34,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,FOUNTAIN,WESTERN
4171654,12/04/2014,0040,20,Olympic,2002,27,F,O,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MAPLEWOOD,WESTERN
4172492,12/05/2014,0015,06,Hollywood,0659,34,M,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,SUNSET,WESTERN
4173560,12/06/2014,0150,06,Hollywood,0678,27,F,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MONROE,WESTERN
4173581,12/06/2014,0110,06,Hollywood,0678,30,F,W,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,LEMON GROVE,WESTERN
4173590,12/06/2014,0025,20,Olympic,2053,21,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,OLYMPIC                      BL,WESTERN
4177414,12/11/2014,0050,20,Olympic,2011,23,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,1ST                          ST,WESTERN
4177429,12/11/2014,0140,06,Hollywood,0678,18,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,INSTITUTE,WESTERN
4178107,12/11/2014,2020,20,Olympic,2011,19,F,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,3RD                          ST,WESTERN
152013283,07/13/2015,2255,20,Olympic,2081,25,F,B,13,Prostitution/Allied,M,653.22(A)PC,LOITER:INTENT:PROSTITUTION,18TH,WESTERN                      AV
182008022,03/09/2018,0950,20,Olympic,2081,26,F,B,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,18TH                         ST,WESTERN                      AV
2257631,03/11/2010,0135,06,Hollywood,0657,18,M,H,13,Prostitution/Allied,M,647(B)PC,PROSTITUTION,MELROSE                      AV,WESTERN                      AV
